price,datetime,room,location,area
$2200,2016-10-19 18:04,3, (santa rosa),1228ft
$2521,2016-10-19 18:04,1, (walnut creek),697ft
$3795,2016-10-19 18:04,3, (san jose north),1440ft
$1995,2016-10-19 18:04,2, (healdsburg / windsor),980ft
$2860,2016-10-19 18:03,, (palo alto),443ft
$2000,2016-10-19 18:03,1, (oakland north / temescal),1226ft
$2100,2016-10-19 18:03,4, (pittsburg / antioch),
$2389,2016-10-19 18:03,, (alameda),680ft
$3713,2016-10-19 18:03,2, (mountain view),930ft
$2200,2016-10-19 18:02,2, (walnut creek),967ft
$5100,2016-10-19 18:02,2, (SOMA / south beach),1029ft
$2877,2016-10-19 18:02,2, (Mountain View),947ft
$2200,2016-10-19 18:02,3, (pittsburg / antioch),
$2595,2016-10-19 18:02,2, (mountain view),
$2600,2016-10-19 18:02,3, (petaluma),1333ft
$2298,2016-10-19 18:02,2, (fremont / union city / newark),
$2488,2016-10-19 18:01,1, (san jose north),931ft
$2050,2016-10-19 18:01,1, (fremont / union city / newark),527ft
$1995,2016-10-19 18:01,2, (oakland lake merritt / grand),
$2300,2016-10-19 18:00,2, (east palo alto),400ft
$2050,2016-10-19 18:00,1, (fremont / union city / newark),527ft
$3495,2016-10-19 18:00,2, (walnut creek),1136ft
$3400,2016-10-19 18:00,3, (san bruno),1540ft
$3093,2016-10-19 17:59,2, (sunnyvale),1063ft
$2695,2016-10-19 17:59,2, (redwood city),
$2915,2016-10-19 17:59,2, (mountain view),1098ft
$3209,2016-10-19 17:59,2, (sunnyvale),950ft
$900,2016-10-19 17:59,2, (berkeley),670ft
$2071,2016-10-19 17:59,1, (san jose west),763ft
$2400,2016-10-19 17:59,, (nob hill),
$18000,2016-10-19 17:59,7, (richmond / seacliff),5874ft
$2470,2016-10-19 17:59,1, (santa clara),830ft
$2982,2016-10-19 17:59,2, (sausalito),773ft
$2351,2016-10-19 17:58,2, (sunnyvale),800ft
$2051,2016-10-19 17:58,2, (fairfield / vacaville),
$3427,2016-10-19 17:58,2, (san mateo),1036ft
$3777,2016-10-19 17:58,2, (san mateo),1158ft
$2753,2016-10-19 17:58,, (san mateo),634ft
$1650,2016-10-19 17:58,1," (Santa Rosa, Calilfornia, Rohner Park, Novato, San Rafael)",661ft
$6500,2016-10-19 17:55,3, (west portal / forest hill),2000ft
$1869,2016-10-19 17:54,1, (hayward / castro valley),
$2395,2016-10-19 17:54,2, (san leandro),1100ft
$3795,2016-10-19 17:54,3, (walnut creek),2104ft
$2950,2016-10-19 17:54,2, (san mateo),875ft
$2325,2016-10-19 17:54,1, (mountain view),748ft
$2095,2016-10-19 17:53,, (campbell),505ft
$2600,2016-10-19 17:53,1, (ingleside / SFSU / CCSF),
$3795,2016-10-19 17:53,4, (walnut creek),2494ft
$1969,2016-10-19 17:53,2, (vallejo / benicia),826ft
$1680,2016-10-19 17:52,1, (pittsburg / antioch),708ft
$2444,2016-10-19 17:52,2, (fremont / union city / newark),902ft
$3855,2016-10-19 17:52,2, (palo alto),1107ft
$1995,2016-10-19 17:52,1, (walnut creek),725ft
$2050,2016-10-19 17:51,2, (san jose west),
$2408,2016-10-19 17:51,2, (dublin / pleasanton / livermore),990ft
$2975,2016-10-19 17:51,3, (rohnert pk / cotati),1555ft
$1695,2016-10-19 17:51,, (mountain view),
$2100,2016-10-19 17:51,4, (fairfield / vacaville),1807ft
$2159,2016-10-19 17:51,1, (fremont / union city / newark),692ft
$1699,2016-10-19 17:51,1, (san jose west),
$2636,2016-10-19 17:51,1, (dublin / pleasanton / livermore),883ft
$3670,2016-10-19 17:51,, (potrero hill),449ft
$2750,2016-10-19 17:50,2, (fremont / union city / newark),1004ft
$2100,2016-10-19 17:50,2, (san jose south),903ft
$2532,2016-10-19 17:50,2, (san jose north),1095ft
$1500,2016-10-19 17:50,, (san jose west),
$2850,2016-10-19 17:50,2, (mountain view),1100ft
$2810,2016-10-19 17:49,2, (san jose north),992ft
$4495,2016-10-19 17:49,2, (lower pac hts),1250ft
$2664,2016-10-19 17:49,2, (san jose north),1050ft
$2950,2016-10-19 17:49,2, (mountain view),874ft
